"Douar
",Latitude,Longitude,Barley,Faba Beans,Peas,Carrots,Turnip,Farmers Benefited
Agadir Nimarghsen,30.99416,-8.34114,490,13,8,1,1,35
Aghalla,31.00183,-8.37964,1050,25,16,1,1,62
Alousse,30.990308,-8.333072,420,13,8,1,1,25
Amerzagane,30.973851,-8.27917,420,13,8,1,1,21
Amskrajane,30.98132,-8.30286,700,13,8,1,1,45
Argue,31.18542,-7.919549,1260,50,20,2,2,75
Asloune,30.992805,-8.349771,560,13,4,1,1,37
Ighil,30.95196,-8.25631,490,13,4,1,1,36
Izarrane,30.98003,-8.27863,350,13,4,1,1,17
Ouawdid,30.98576,-8.39721,1260,50,8,1,1,63
Ouddift,30.997434,-8.304542,560,13,8,1,1,30
Ourzddine,30.995253,-8.273542,350,13,4,1,1,18
Tachakoucht,31.01412,-8.35859,700,13,8,2,2,44
Tadafalte,30.97894,-8.32065,350,13,4,1,1,18
Tamezmamane,30.983905,-8.376181,910,25,8,2,2,56
Tamsoulte,31.003136,-8.370785,420,13,8,1,1,28
Tanfguikhte,30.9945,-8.38222,1260,50,20,3,3,80
Taourirt Nait Salh,30.97447,-8.28916,560,13,8,1,1,17
Tassila,30.976022,-8.264656,420,13,8,1,1,21
Tazeguezaoute,30.991432,-8.376259,560,25,8,1,1,32
Timslah,31.000339,-8.341305,770,50,8,1,1,58
Tirkht,30.98977,-8.35746,560,13,8,1,1,40
Tizi Ntigrte,30.998579,-8.312735,350,13,4,1,1,18
Agadir Inmzal,30.997401,-8.01639,490,25,10,1,1,20
Ankzdame,30.996873,-8.003852,490,25,10,1,1,16
Dar Al'Askar,30.973698,-8.133777,420,25,10,1,1,18
El Maghzene,30.9646,-8.100505,650,25,10,1,1,22
Ighir,30.978965,-8.078389,700,25,10,1,1,30
Iguidi,31.022578,-8.10612,770,25,10,1,1,35
Ijjoukak,30.995178,-8.155252,770,25,10,1,1,37
Majou,30.946409,-8.086052,840,25,10,1,1,36
Rakte,31.026271,-8.133692,350,25,10,1,1,23
Tagadirt-n-Izddar,30.930118,-8.068973,630,25,10,1,1,27
Tagharghiste,30.99146,-8.063628,770,25,10,1,1,32
Taghbart,30.969838,-8.121483,420,25,10,1,1,18
Tanfit,30.958515,-8.093458,350,25,10,1,1,14
Tazagarte,30.97678,-8.083724,350,25,10,1,1,14
Tigoundafine,31.000531,-8.028681,700,25,10,1,1,30
Tijghicht,30.968553,-8.095518,1400,25,10,1,1,55
Aguerd,31.131556,-8.180713,1125,25,18,2,2,80
